Al,Co ,Cr,Cu,Fe,Mn,Mo,Nb,Ta,Ti,Si,W,Ni,Temper( C),cp
0,1.25,22,2,19.5,1.5,6.5,1,1,0,0.5,0.5,44.25,900,603
0,1.25,22,2,19.5,1.5,6.5,1,1,0,0.5,0.5,44.25,1000,620
0.25,0.1,7,0.2,2.5,0.4,16.5,0,0,0.25,0.5,0.25,72.05,100,419
0.25,0.1,7,0.2,2.5,0.4,16.5,0,0,0.25,0.5,0.25,72.05,200,440
0.25,0.1,7,0.2,2.5,0.4,16.5,0,0,0.25,0.5,0.25,72.05,300,456
0.25,0.1,7,0.2,2.5,0.4,16.5,0,0,0.25,0.5,0.25,72.05,400,469
0.25,0.1,7,0.2,2.5,0.4,16.5,0,0,0.25,0.5,0.25,72.05,480,477
0.25,0.1,7,0.2,2.5,0.4,16.5,0,0,0.25,0.5,0.25,72.05,540,486
0.25,0.1,7,0.2,2.5,0.4,16.5,0,0,0.25,0.5,0.25,72.05,570,523
0.25,0.1,7,0.2,2.5,0.4,16.5,0,0,0.25,0.5,0.25,72.05,590,565
0.25,0.1,7,0.2,2.5,0.4,16.5,0,0,0.25,0.5,0.25,72.05,620,586
0.25,0.1,7,0.2,2.5,0.4,16.5,0,0,0.25,0.5,0.25,72.05,660,582
0.25,0.1,7,0.2,2.5,0.4,16.5,0,0,0.25,0.5,0.25,72.05,680,578
0.25,0.1,7,0.2,2.5,0.4,16.5,0,0,0.25,0.5,0.25,72.05,700,578
0.3,1,15.5,0,1.5,0.6,15,0,0,0,0.5,0,65.6,100,427
0.3,1,15.5,0,1.5,0.6,15,0,0,0,0.5,0,65.6,200,448
0.3,1,15.5,0,1.5,0.6,15,0,0,0,0.5,0,65.6,300,465
0.3,1,15.5,0,1.5,0.6,15,0,0,0,0.5,0,65.6,400,477
0.3,1,15.5,0,1.5,0.6,15,0,0,0,0.5,0,65.6,500,490
0.3,1,15.5,0,1.5,0.6,15,0,0,0,0.5,0,65.6,600,498
0.3,1,15.5,0,1.5,0.6,15,0,0,0,0.5,0,65.6,700,594
0.3,1,15.5,0,1.5,0.6,15,0,0,0,0.5,0,65.6,800,590
0.3,1,15.5,0,1.5,0.6,15,0,0,0,0.5,0,65.6,900,594
0.3,1,15.5,0,1.5,0.6,15,0,0,0,0.5,0,65.6,1000,599
0.3,1,15.5,0,1.5,0.6,15,0,0,0,0.5,0,65.6,1100,603
0,53.9,26,0,3,0.8,5,0,0,0,0.3,2,9,25,456
0,53.9,26,0,3,0.8,5,0,0,0,0.3,2,9,100,470
0,53.9,26,0,3,0.8,5,0,0,0,0.3,2,9,200,482
0,53.9,26,0,3,0.8,5,0,0,0,0.3,2,9,300,504
0,53.9,26,0,3,0.8,5,0,0,0,0.3,2,9,400,525
0,53.9,26,0,3,0.8,5,0,0,0,0.3,2,9,500,545
0,53.9,26,0,3,0.8,5,0,0,0,0.3,2,9,600,573
1.5,11,19,0,2.5,0.05,10,0,0,3.1,0.25,0,52.6,21,452
0.25,1.5,1.5,0.1,1.5,1.5,28.5,0.1,0.1,0.1,0,1.5,63.35,25,373
0.25,1.5,1.5,0.1,1.5,1.5,28.5,0.1,0.1,0.1,0,1.5,63.35,100,382
0.25,1.5,1.5,0.1,1.5,1.5,28.5,0.1,0.1,0.1,0,1.5,63.35,200,409
0.25,1.5,1.5,0.1,1.5,1.5,28.5,0.1,0.1,0.1,0,1.5,63.35,300,421
0.25,1.5,1.5,0.1,1.5,1.5,28.5,0.1,0.1,0.1,0,1.5,63.35,400,431
0.25,1.5,1.5,0.1,1.5,1.5,28.5,0.1,0.1,0.1,0,1.5,63.35,500,436
0.25,1.5,1.5,0.1,1.5,1.5,28.5,0.1,0.1,0.1,0,1.5,63.35,600,434
0.25,0.5,15,0,1,0.25,22,0,0,0,0.04,0,60.96,25,403
0.25,0.5,15,0,1,0.25,22,0,0,0,0.04,0,60.96,100,416
0.25,0.5,15,0,1,0.25,22,0,0,0,0.04,0,60.96,200,429
0.25,0.5,15,0,1,0.25,22,0,0,0,0.04,0,60.96,300,439
0.25,0.5,15,0,1,0.25,22,0,0,0,0.04,0,60.96,400,449
0.25,0.5,15,0,1,0.25,22,0,0,0,0.04,0,60.96,500,461
0.25,0.5,15,0,1,0.25,22,0,0,0,0.04,0,60.96,600,457
0.2,29,28,0,1,0.5,0.5,0.5,0,0.5,2.75,0.5,36.55,25,462
0.2,29,28,0,1,0.5,0.5,0.5,0,0.5,2.75,0.5,36.55,100,487
0.2,29,28,0,1,0.5,0.5,0.5,0,0.5,2.75,0.5,36.55,200,506
0.2,29,28,0,1,0.5,0.5,0.5,0,0.5,2.75,0.5,36.55,300,521
0.2,29,28,0,1,0.5,0.5,0.5,0,0.5,2.75,0.5,36.55,400,542
0.2,29,28,0,1,0.5,0.5,0.5,0,0.5,2.75,0.5,36.55,500,562
0.2,29,28,0,1,0.5,0.5,0.5,0,0.5,2.75,0.5,36.55,600,597
0.2,29,28,0,1,0.5,0.5,0.5,0,0.5,2.75,0.5,36.55,700,653
0.2,29,28,0,1,0.5,0.5,0.5,0,0.5,2.75,0.5,36.55,800,672
0.2,29,28,0,1,0.5,0.5,0.5,0,0.5,2.75,0.5,36.55,900,689
0.2,29,28,0,1,0.5,0.5,0.5,0,0.5,2.75,0.5,36.55,1000,704
0.2,29,28,0,1,0.5,0.5,0.5,0,0.5,2.75,0.5,36.55,1100,719
0.2,29,28,0,1,0.5,0.5,0.5,0,0.5,2.75,0.5,36.55,1200,732
0.2,0.5,33.2,0.15,1,0.25,8.1,0,0,0,0.3,0.3,56,25,450
0.2,0.5,33.2,0.15,1,0.25,8.1,0,0,0,0.3,0.3,56,100,470
0.2,0.5,33.2,0.15,1,0.25,8.1,0,0,0,0.3,0.3,56,200,490
0.2,0.5,33.2,0.15,1,0.25,8.1,0,0,0,0.3,0.3,56,300,510
0.2,0.5,33.2,0.15,1,0.25,8.1,0,0,0,0.3,0.3,56,400,530
0.2,0.5,33.2,0.15,1,0.25,8.1,0,0,0,0.3,0.3,56,500,530
0.2,0.5,33.2,0.15,1,0.25,8.1,0,0,0,0.3,0.3,56,600,600
0.25,1,23,1.6,1.5,0.25,16,0,0,0,0,0,56.4,25,428
0.25,1,23,1.6,1.5,0.25,16,0,0,0,0,0,56.4,100,434
0.25,1,23,1.6,1.5,0.25,16,0,0,0,0,0,56.4,200,443
0.25,1,23,1.6,1.5,0.25,16,0,0,0,0,0,56.4,300,455
0.25,1,23,1.6,1.5,0.25,16,0,0,0,0,0,56.4,400,468
0.25,1,23,1.6,1.5,0.25,16,0,0,0,0,0,56.4,500,486
0.25,0,21,0,1,0.4,17,0,0,0,0,0.5,59.85,25,412
0.25,0,21,0,1,0.4,17,0,0,0,0,0.5,59.85,100,434
0.25,0,21,0,1,0.4,17,0,0,0,0,0.5,59.85,200,451
0.25,0,21,0,1,0.4,17,0,0,0,0,0.5,59.85,300,465
0.25,0,21,0,1,0.4,17,0,0,0,0,0.5,59.85,400,577
0.25,0,21,0,1,0.4,17,0,0,0,0,0.5,59.85,500,488
0.25,0,21,0,1,0.4,17,0,0,0,0,0.5,59.85,600,504
0.2,0.5,21,0,2.5,0.25,9,1.85,1.85,0.2,0.1,0,62.55,25,410
0.2,0.5,21,0,2.5,0.25,9,1.85,1.85,0.2,0.1,0,62.55,100,428
0.2,0.5,21,0,2.5,0.25,9,1.85,1.85,0.2,0.1,0,62.55,200,455
0.2,0.5,21,0,2.5,0.25,9,1.85,1.85,0.2,0.1,0,62.55,300,477
0.2,0.5,21,0,2.5,0.25,9,1.85,1.85,0.2,0.1,0,62.55,400,503
0.2,0.5,21,0,2.5,0.25,9,1.85,1.85,0.2,0.1,0,62.55,500,527
0.2,0.5,21,0,2.5,0.25,9,1.85,1.85,0.2,0.1,0,62.55,600,552
0.2,0.5,21,0,2.5,0.25,9,1.85,1.85,0.2,0.1,0,62.55,700,576
0.2,0.5,21,0,2.5,0.25,9,1.85,1.85,0.2,0.1,0,62.55,800,600
0.2,0.5,21,0,2.5,0.25,9,1.85,1.85,0.2,0.1,0,62.55,900,625
0.2,0.5,21,0,2.5,0.25,9,1.85,1.85,0.2,0.1,0,62.55,1000,648
0.2,18,22,0,32,1,3,0.5,0.6,0,0.4,2.5,19.8,25,464
0.2,18,22,0,32,1,3,0.5,0.6,0,0.4,2.5,19.8,100,475
0.2,18,22,0,32,1,3,0.5,0.6,0,0.4,2.5,19.8,200,493
0.2,18,22,0,32,1,3,0.5,0.6,0,0.4,2.5,19.8,300,508
0.2,18,22,0,32,1,3,0.5,0.6,0,0.4,2.5,19.8,400,523
0.2,18,22,0,32,1,3,0.5,0.6,0,0.4,2.5,19.8,500,538
0.2,18,22,0,32,1,3,0.5,0.6,0,0.4,2.5,19.8,600,552
0.2,18,22,0,32,1,3,0.5,0.6,0,0.4,2.5,19.8,700,561
0.2,18,22,0,32,1,3,0.5,0.6,0,0.4,2.5,19.8,800,570
0.2,18,22,0,32,1,3,0.5,0.6,0,0.4,2.5,19.8,900,595
0.2,18,22,0,32,1,3,0.5,0.6,0,0.4,2.5,19.8,1000,618
0.2,18,22,0,32,1,3,0.5,0.6,0,0.4,2.5,19.8,1100,638
1.5,10,20,0,0.75,0.15,8.5,0,0,2.1,0.1,0,56.9,25,436
1.5,10,20,0,0.75,0.15,8.5,0,0,2.1,0.1,0,56.9,100,463
1.5,10,20,0,0.75,0.15,8.5,0,0,2.1,0.1,0,56.9,200,494
1.5,10,20,0,0.75,0.15,8.5,0,0,2.1,0.1,0,56.9,300,522
1.5,10,20,0,0.75,0.15,8.5,0,0,2.1,0.1,0,56.9,400,544
1.5,10,20,0,0.75,0.15,8.5,0,0,2.1,0.1,0,56.9,500,563
1.5,10,20,0,0.75,0.15,8.5,0,0,2.1,0.1,0,56.9,600,581
1.5,10,20,0,0.75,0.15,8.5,0,0,2.1,0.1,0,56.9,700,594
1.5,10,20,0,0.75,0.15,8.5,0,0,2.1,0.1,0,56.9,800,650
1.5,10,20,0,0.75,0.15,8.5,0,0,2.1,0.1,0,56.9,900,668
1.5,10,20,0,0.75,0.15,8.5,0,0,2.1,0.1,0,56.9,1000,676
0.25,0.5,8,0,1,0.4,25,0,0,0,0.4,0,64.45,25,386
0.25,0.5,8,0,1,0.4,25,0,0,0,0.4,0,64.45,100,405
0.25,0.5,8,0,1,0.4,25,0,0,0,0.4,0,64.45,200,419
0.25,0.5,8,0,1,0.4,25,0,0,0,0.4,0,64.45,300,431
0.25,0.5,8,0,1,0.4,25,0,0,0,0.4,0,64.45,400,439
0.25,0.5,8,0,1,0.4,25,0,0,0,0.4,0,64.45,500,451
0.25,0.5,8,0,1,0.4,25,0,0,0,0.4,0,64.45,600,470
0.25,0.5,8,0,1,0.4,25,0,0,0,0.4,0,64.45,700,595
0.25,0.5,8,0,1,0.4,25,0,0,0,0.4,0,64.45,800,605
0.25,0.5,8,0,1,0.4,25,0,0,0,0.4,0,64.45,900,610
0.25,0.5,8,0,1,0.4,25,0,0,0,0.4,0,64.45,1000,627
0.3,2.5,22,0,1.5,0.5,2,0.25,0,0.1,0.4,14,56.45,25,397
0.3,2.5,22,0,1.5,0.5,2,0.25,0,0.1,0.4,14,56.45,100,419
0.3,2.5,22,0,1.5,0.5,2,0.25,0,0.1,0.4,14,56.45,200,435
0.3,2.5,22,0,1.5,0.5,2,0.25,0,0.1,0.4,14,56.45,300,448
0.3,2.5,22,0,1.5,0.5,2,0.25,0,0.1,0.4,14,56.45,400,465
0.3,2.5,22,0,1.5,0.5,2,0.25,0,0.1,0.4,14,56.45,500,473
0.3,2.5,22,0,1.5,0.5,2,0.25,0,0.1,0.4,14,56.45,600,486
0.3,2.5,22,0,1.5,0.5,2,0.25,0,0.1,0.4,14,56.45,700,574
0.3,2.5,22,0,1.5,0.5,2,0.25,0,0.1,0.4,14,56.45,800,595
0.3,2.5,22,0,1.5,0.5,2,0.25,0,0.1,0.4,14,56.45,1000,617
0.3,2.5,22,0,1.5,0.5,2,0.25,0,0.1,0.4,14,56.45,900,609
3.3,19,19,0,1.5,0.4,7.5,0,0.5,0.5,0.1,0.3,47.9,600,541
3.3,19,19,0,1.5,0.4,7.5,0,0.5,0.5,0.1,0.3,47.9,700,555
3.3,19,19,0,1.5,0.4,7.5,0,0.5,0.5,0.1,0.3,47.9,800,566
3.3,19,19,0,1.5,0.4,7.5,0,0.5,0.5,0.1,0.3,47.9,900,575
3.3,19,19,0,1.5,0.4,7.5,0,0.5,0.5,0.1,0.3,47.9,1000,584
4.5,1,16,0,3,0.25,0.25,0.1,0,0.25,0.1,0.5,74.05,25,452
4.5,1,16,0,3,0.25,0.25,0.1,0,0.25,0.1,0.5,74.05,100,470
4.5,1,16,0,3,0.25,0.25,0.1,0,0.25,0.1,0.5,74.05,200,493
4.5,1,16,0,3,0.25,0.25,0.1,0,0.25,0.1,0.5,74.05,300,515
4.5,1,16,0,3,0.25,0.25,0.1,0,0.25,0.1,0.5,74.05,400,538
4.5,1,16,0,3,0.25,0.25,0.1,0,0.25,0.1,0.5,74.05,500,561
4.5,1,16,0,3,0.25,0.25,0.1,0,0.25,0.1,0.5,74.05,600,611
4.5,1,16,0,3,0.25,0.25,0.1,0,0.25,0.1,0.5,74.05,700,668
4.5,1,16,0,3,0.25,0.25,0.1,0,0.25,0.1,0.5,74.05,800,705
4.5,1,16,0,3,0.25,0.25,0.1,0,0.25,0.1,0.5,74.05,900,728
4.5,1,16,0,3,0.25,0.25,0.1,0,0.25,0.1,0.5,74.05,1000,742
4.5,1,16,0,3,0.25,0.25,0.1,0,0.25,0.1,0.5,74.05,1100,749
4.5,1,16,0,3,0.25,0.25,0.1,0,0.25,0.1,0.5,74.05,1200,753
0,39,22,0,3,0.75,0,0,0,0,0.35,14,20.9,100,423
0,39,22,0,3,0.75,0,0,0,0,0.35,14,20.9,200,444
0,39,22,0,3,0.75,0,0,0,0,0.35,14,20.9,300,465
0,39,22,0,3,0.75,0,0,0,0,0.35,14,20.9,400,486
0,39,22,0,3,0.75,0,0,0,0,0.35,14,20.9,500,502
0,39,22,0,3,0.75,0,0,0,0,0.35,14,20.9,600,523
0,39,22,0,3,0.75,0,0,0,0,0.35,14,20.9,700,540
0,39,22,0,3,0.75,0,0,0,0,0.35,14,20.9,800,557
0,39,22,0,3,0.75,0,0,0,0,0.35,14,20.9,900,573
0,39,22,0,3,0.75,0,0,0,0,0.35,14,20.9,1000,590
0,51.3,20,0,1.5,1.5,0.5,0,0,0,0.2,15,10,25,403
0,51.3,20,0,1.5,1.5,0.5,0,0,0,0.2,15,10,100,424
0,51.3,20,0,1.5,1.5,0.5,0,0,0,0.2,15,10,200,445
0,51.3,20,0,1.5,1.5,0.5,0,0,0,0.2,15,10,300,455
0,51.3,20,0,1.5,1.5,0.5,0,0,0,0.2,15,10,400,462
0,51.3,20,0,1.5,1.5,0.5,0,0,0,0.2,15,10,500,495
0,51.3,20,0,1.5,1.5,0.5,0,0,0,0.2,15,10,600,508
0,51.3,20,0,1.5,1.5,0.5,0,0,0,0.2,15,10,700,582
0,51.3,20,0,1.5,1.5,0.5,0,0,0,0.2,15,10,800,592
0,51.3,20,0,1.5,1.5,0.5,0,0,0,0.2,15,10,900,596
0,51.3,20,0,1.5,1.5,0.5,0,0,0,0.2,15,10,1000,598
3.53,8.26,15.85,0,0,0,1.73,2.5,1.73,3.49,0,2.57,60.34,25,450
3.53,8.26,15.85,0,0,0,1.73,2.5,1.73,3.49,0,2.57,60.34,127,473
3.53,8.26,15.85,0,0,0,1.73,2.5,1.73,3.49,0,2.57,60.34,327,511
3.53,8.26,15.85,0,0,0,1.73,2.5,1.73,3.49,0,2.57,60.34,527,547
3.53,8.26,15.85,0,0,0,1.73,2.5,1.73,3.49,0,2.57,60.34,727,631
3.53,8.26,15.85,0,0,0,1.73,2.5,1.73,3.49,0,2.57,60.34,927,675
2.95,9.6,13.9,0,0,0,4.05,0,0,4.95,0,3.9,60.65,25,457
2.95,9.6,13.9,0,0,0,4.05,0,0,4.95,0,3.9,60.65,127,480
2.95,9.6,13.9,0,0,0,4.05,0,0,4.95,0,3.9,60.65,327,519
2.95,9.6,13.9,0,0,0,4.05,0,0,4.95,0,3.9,60.65,527,557
2.95,9.6,13.9,0,0,0,4.05,0,0,4.95,0,3.9,60.65,727,644
2.95,9.6,13.9,0,0,0,4.05,0,0,4.95,0,3.9,60.65,927,681
