Al,Co ,Cr,Cu,Fe,Mn,Mo,Nb,Ta,Ti,Si,W,Ni,Temp,K
0,1,16,0,1,0.5,16,0,0,0.35,0,0,65.15,25,10.1
0,1,16,0,1,0.5,16,0,0,0.35,0,0,65.15,100,11.4
0,1,16,0,1,0.5,16,0,0,0.35,0,0,65.15,200,13.2
0,1,16,0,1,0.5,16,0,0,0.35,0,0,65.15,300,14.9
0,1,16,0,1,0.5,16,0,0,0.35,0,0,65.15,400,16.6
0,1,16,0,1,0.5,16,0,0,0.35,0,0,65.15,500,18.4
0,1,16,0,1,0.5,16,0,0,0.35,0,0,65.15,600,20.4
0,1.25,22,0,3,0.25,13,0,0,0,0,3,57.5,48,10.1
0,1.25,22,0,3,0.25,13,0,0,0,0,3,57.5,100,11.1
0,1.25,22,0,3,0.25,13,0,0,0,0,3,57.5,200,13.4
0,1.25,22,0,3,0.25,13,0,0,0,0,3,57.5,300,15.5
0,1.25,22,0,3,0.25,13,0,0,0,0,3,57.5,400,17.5
0,1.25,22,0,3,0.25,13,0,0,0,0,3,57.5,500,19.5
0,1.25,22,0,3,0.25,13,0,0,0,0,3,57.5,600,21.3
0,1.25,15.5,0,5.5,0.5,16,0,0,0,0,3.75,57.5,38,10.2
0,1.25,15.5,0,5.5,0.5,16,0,0,0,0,3.75,57.5,93,11.1
0,1.25,15.5,0,5.5,0.5,16,0,0,0,0,3.75,57.5,205,13
0,1.25,15.5,0,5.5,0.5,16,0,0,0,0,3.75,57.5,315,15
0,1.25,15.5,0,5.5,0.5,16,0,0,0,0,3.75,57.5,425,16.9
0,1.25,15.5,0,5.5,0.5,16,0,0,0,0,3.75,57.5,540,19
0,1.25,15.5,0,5.5,0.5,16,0,0,0,0,3.75,57.5,650,20.9
0,1.25,15.5,0,5.5,0.5,16,0,0,0,0,3.75,57.5,760,23
0,1.25,15.5,0,5.5,0.5,16,0,0,0,0,3.75,57.5,870,24.9
0,1.25,15.5,0,5.5,0.5,16,0,0,0,0,3.75,57.5,980,26.7
0,1.25,15.5,0,5.5,0.5,16,0,0,0,0,3.75,57.5,1090,28.2
0,1.25,22,2,19.5,1.5,6.5,2,0,0,0.5,0.5,44.25,25,10.1
0,1.25,22,2,19.5,1.5,6.5,2,0,0,0.5,0.5,44.25,100,11.2
0,1.25,22,2,19.5,1.5,6.5,2,0,0,0.5,0.5,44.25,200,12.8
0,1.25,22,2,19.5,1.5,6.5,2,0,0,0.5,0.5,44.25,300,14.3
0,1.25,22,2,19.5,1.5,6.5,2,0,0,0.5,0.5,44.25,400,15.9
0,1.25,22,2,19.5,1.5,6.5,2,0,0,0.5,0.5,44.25,500,17.5
0,1.25,22,2,19.5,1.5,6.5,2,0,0,0.5,0.5,44.25,600,19.2
0,1.25,22,2,19.5,1.5,6.5,2,0,0,0.5,0.5,44.25,700,20.8
0,1.25,22,2,19.5,1.5,6.5,2,0,0,0.5,0.5,44.25,800,22.4
0,1.25,22,2,19.5,1.5,6.5,2,0,0,0.5,0.5,44.25,900,24
0,2.5,30,1.75,15,0.75,5,1,0,0,0.4,2.25,41.35,24,10.2
0,2.5,30,1.75,15,0.75,5,1,0,0,0.4,2.25,41.35,100,11.9
0,2.5,30,1.75,15,0.75,5,1,0,0,0.4,2.25,41.35,200,14.4
0,2.5,30,1.75,15,0.75,5,1,0,0,0.4,2.25,41.35,300,16.7
0,2.5,30,1.75,15,0.75,5,1,0,0,0.4,2.25,41.35,400,18.7
0,2.5,30,1.75,15,0.75,5,1,0,0,0.4,2.25,41.35,500,20.3
0,2.5,30,1.75,15,0.75,5,1,0,0,0.4,2.25,41.35,600,21.4
0.25,0.1,7,0.2,2.5,0.4,16.5,0,0,0.25,0.5,0.25,72.05,100,11.5
0.25,0.1,7,0.2,2.5,0.4,16.5,0,0,0.25,0.5,0.25,72.05,200,13.1
0.25,0.1,7,0.2,2.5,0.4,16.5,0,0,0.25,0.5,0.25,72.05,300,14.4
0.25,0.1,7,0.2,2.5,0.4,16.5,0,0,0.25,0.5,0.25,72.05,400,16.5
0.25,0.1,7,0.2,2.5,0.4,16.5,0,0,0.25,0.5,0.25,72.05,500,18
0.25,0.1,7,0.2,2.5,0.4,16.5,0,0,0.25,0.5,0.25,72.05,600,20.3
0.25,0.1,7,0.2,2.5,0.4,16.5,0,0,0.25,0.5,0.25,72.05,700,23.6
0.3,1,15.5,0,1.5,0.6,15,0,0,0,0.5,0,65.6,200,14
0.3,1,15.5,0,1.5,0.6,15,0,0,0,0.5,0,65.6,300,16.1
0.3,1,15.5,0,1.5,0.6,15,0,0,0,0.5,0,65.6,400,17.9
0.3,1,15.5,0,1.5,0.6,15,0,0,0,0.5,0,65.6,500,19.5
